"domainID","siteID","decimalLatitude","decimalLongitude","elevation","ecosystemType_Megapit","ecoregionWWF_Megapit","landCover_Megapit","dominantPlants_Tower","horizonName","biogeoTopDepth","biogeoBottomDepth","carbonTot","nitrogenTot","phH2o","coarseFrag2To5","coarseFrag5To20","coarseFrac2to20","sandTotal","siltTotal","clayTotal","bulkDensTopDepth","bulkDensBottomDepth","bulkDensExclCoarseFrag"
"D16","WREF",45.81637,-121.95838,383,"Temperate coniferous forest","temperate coniferous forest","forest","Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon","Oi",0,3,555.1,12.2,4.1,0,0,0,NA,NA,NA,0,3,0.065
"D16","WREF",45.81637,-121.95838,383,"Temperate coniferous forest","temperate coniferous forest","forest","Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon","Oa",3,9,518.5,14.2,3.8,0,0,0,NA,NA,NA,3,6,0.1044
"D16","WREF",45.81637,-121.95838,383,"Temperate coniferous forest","temperate coniferous forest","forest","Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon","Ac",9,50,15.4,1,5.4,72,0,7.2,49.5,36.9,13.6,18,23,0.7998
"D16","WREF",45.81637,-121.95838,383,"Temperate coniferous forest","temperate coniferous forest","forest","Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon","Bw",50,80,12.3,1,5.5,67,0,6.7,45.7,41.2,13.1,62,70,0.752
"D16","WREF",45.81637,-121.95838,383,"Temperate coniferous forest","temperate coniferous forest","forest","Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon","BC",80,94,5.4,0.8,5.8,6,0,0.6,54.8,35.6,9.6,84,89,0.9868
"D16","WREF",45.81637,-121.95838,383,"Temperate coniferous forest","temperate coniferous forest","forest","Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon","2C1",94,136,4.4,0.6,5.7,3,0,0.3,78.1,16,5.9,104,109,0.9231
"D16","WREF",45.81637,-121.95838,383,"Temperate coniferous forest","temperate coniferous forest","forest","Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon","2C2",136,162,3,0.4,5.7,4,0,0.4,88.8,9.2,2,137,142,0.9032
"D16","WREF",45.81637,-121.95838,383,"Temperate coniferous forest","temperate coniferous forest","forest","Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon","3AB",162,178,4.7,0.5,5.7,3,0,0.3,86.6,12.1,1.3,168,173,1.0425
"D16","WREF",45.81637,-121.95838,383,"Temperate coniferous forest","temperate coniferous forest","forest","Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon","3Cg",178,200,6,0.6,5.7,6,0,0.6,64.5,30,5.5,180,185,0.7918
